ranking,selection,param,strategy,acc_train,bacc_train,f1_train,mcc_train,erros_train,acc_test,bacc_test,f1_test,mcc_test,erros_test,seed
1,select_coverage,4.0,majority,0.8221482098251457,0.7312945645141267,0.7241539811693539,0.643000906336791,9612,0.7706483126110124,0.6408526834210174,0.6348162940831866,0.5364525923029544,3099,17
1,select_coverage,4.0,cmar,0.8246276251272088,0.7280647873513,0.7253970901719643,0.645722722259911,9478,0.7751628182356424,0.6372573050234868,0.635602591267277,0.541007827991543,3038,17
1,select_coverage,4.0,top_k_avg,0.8312887408640948,0.7239004955557012,0.7274905133394651,0.656323155597848,9118,0.7833777383066903,0.6253305046668135,0.6327798521526732,0.5480334249191071,2927,17
1,select_coverage,4.0,list,0.8314922749560552,0.7246411804591314,0.7281100666493147,0.6567856584671057,9107,0.7835257548845471,0.6258747223538883,0.6332866753066831,0.5483756514788092,2925,17
1,select_coverage_CBA_M1,,majority,0.8059024886668517,0.547409549331847,0.5488681060426307,0.5808016099850565,10490,0.7839698046181173,0.5201484803717474,0.5171188578276945,0.5128030858263636,2919,17
1,select_coverage_CBA_M1,,cmar,0.803478582662596,0.5461792944530882,0.5468518734745267,0.5741615170012769,10621,0.7816015393724097,0.5197878713839345,0.5155147505308465,0.5070063445057789,2951,17
1,select_coverage_CBA_M1,,top_k_avg,0.8069201591266537,0.5478328555643343,0.549483863928225,0.5836224772258191,10435,0.7869301361752516,0.5202332991788893,0.5191288019654885,0.5204310537543513,2879,17
1,select_coverage_CBA_M1,,list,0.8069386622259228,0.5479354598143699,0.5497342335598826,0.5836726137854367,10434,0.7869301361752516,0.5202332991788893,0.5191288019654885,0.5204310537543513,2879,17
2,select_coverage,1.0,majority,0.8351743917106115,0.7383011227974755,0.7411505329347955,0.6640197712778906,8908,0.7782711663706335,0.6353651303046428,0.6384702775758776,0.5406643390993265,2996,17
2,select_coverage,1.0,cmar,0.835692478490147,0.7358615181988086,0.741792717214801,0.6637928364067651,8880,0.7793072824156305,0.6307984294329626,0.636430344294436,0.540556541068167,2982,17
2,select_coverage,1.0,top_k_avg,0.8421500601350727,0.7339841761283052,0.7451752104386236,0.6752283947990447,8531,0.7874481941977501,0.6190352154599658,0.632883213332892,0.5490603091159623,2872,17
2,select_coverage,1.0,list,0.842335091127764,0.734661052966396,0.7457496708660273,0.6756542482028479,8521,0.7877442273534636,0.6201187590548122,0.633619678670858,0.5501003457671748,2868,17
2,select_coverage,2.0,majority,0.8294939402349893,0.7352134060936418,0.7334256606043345,0.6547096441217205,9215,0.7742007104795737,0.6383020766425858,0.6366180516958194,0.5378375221112336,3051,17
2,select_coverage,2.0,cmar,0.8309371819779813,0.7318139283104586,0.7339986170776062,0.6558385108866197,9137,0.7773090586145648,0.6319305407647919,0.6346484634627804,0.5400221067827603,3009,17
2,select_coverage,2.0,top_k_avg,0.836839670644833,0.7286224613759495,0.736127527410249,0.6657432002615868,8818,0.7848579040852576,0.621084430365029,0.6316818116129604,0.5472507488435207,2907,17
2,select_coverage,2.0,list,0.8370432047367934,0.7293631462793796,0.7367533548297548,0.6662083828041374,8807,0.7851539372409709,0.6224029591445052,0.6326102487416857,0.5483520602144358,2903,17
2,select_coverage,3.0,majority,0.825367749097974,0.7334436132995377,0.7283078113166698,0.6482318172791137,9438,0.7730905861456483,0.6407755539191756,0.6365031449341235,0.5388451571088765,3066,17
2,select_coverage,3.0,cmar,0.8276251272088074,0.729766574511591,0.7292337408253605,0.6505642097553965,9316,0.7761989342806395,0.634937630571967,0.6350387466561699,0.5409446942384105,3024,17
2,select_coverage,3.0,top_k_avg,0.8336016282727357,0.7256729877567141,0.7308465315181528,0.6602152624078343,8993,0.7845618709295441,0.6241327191336054,0.6328789575810779,0.5488733336688976,2911,17
2,select_coverage,3.0,list,0.833805162364696,0.7264136726601443,0.7314689404169603,0.6606787961460128,8982,0.7847838957963292,0.6254141242541734,0.633736544891995,0.5498521514234828,2908,17
2,select_coverage,4.0,majority,0.8221482098251457,0.7312945645141267,0.7241539811693539,0.643000906336791,9612,0.7706483126110124,0.6408526834210174,0.6348162940831866,0.5364525923029544,3099,17
2,select_coverage,4.0,cmar,0.8246276251272088,0.7280647873513,0.7253970901719643,0.645722722259911,9478,0.7751628182356424,0.6372573050234868,0.635602591267277,0.541007827991543,3038,17
2,select_coverage,4.0,top_k_avg,0.8312887408640948,0.7239004955557012,0.7274905133394651,0.656323155597848,9118,0.7833777383066903,0.6253305046668135,0.6327798521526732,0.5480334249191071,2927,17
2,select_coverage,4.0,list,0.8314922749560552,0.7246411804591314,0.7281100666493147,0.6567856584671057,9107,0.7835997631734755,0.6266119097873816,0.6336288638997285,0.5490235046935348,2924,17
